date,trip_km,liters,cost_rm,price_per_l,full_tank
2025-10-08,214.0,9.876,20.25,2.05,yes
2025-10-15,238.5,10.102,20.71,2.05,yes
2025-10-22,245.3,10.450,21.42,2.05,yes
2025-11-05,252.7,10.880,22.29,2.05,yes
2025-11-20,261.4,11.020,22.59,2.05,yes
2025-12-08,196.5,8.950,18.36,2.05,partial
2025-12-18,248.2,10.600,21.73,2.05,yes
2026-01-20,256.1,10.884,27.43,2.52,yes
2026-01-30,263.0,10.502,26.68,2.54,yes
2026-02-14,272.8,10.710,27.20,2.54,yes
2026-02-25,274.4,12.513,31.78,2.54,yes
2026-03-07,218.5,10.240,27.34,2.67,yes
2026-03-17,254.6,10.790,35.28,3.27,yes
